meal_log_id,tag
a1000000-0000-0000-0000-000000000001,Breakfast
a1000000-0000-0000-0000-000000000001,HighFiber
a1000000-0000-0000-0000-000000000001,Oats
a1000000-0000-0000-0000-000000000002,Lunch
a1000000-0000-0000-0000-000000000002,Meat
a1000000-0000-0000-0000-000000000003,Dinner
a1000000-0000-0000-0000-000000000003,Veg
a1000000-0000-0000-0000-000000000003,HighFiber
a1000000-0000-0000-0000-000000000003,Spicy
a1000000-0000-0000-0000-000000000004,Breakfast
a1000000-0000-0000-0000-000000000004,Sugar
a1000000-0000-0000-0000-000000000006,Dinner
a1000000-0000-0000-0000-000000000006,Dairy
a1000000-0000-0000-0000-000000000006,Gluten
a1000000-0000-0000-0000-000000000007,Snack
a1000000-0000-0000-0000-000000000007,Sugar
a1000000-0000-0000-0000-000000000007,Dairy
a1000000-0000-0000-0000-000000000008,Lunch
a1000000-0000-0000-0000-000000000008,Veg
a1000000-0000-0000-0000-000000000008,HighFiber
